date,temp_max,temp_min,temp_mean,temp_range
2025-12-09,23.7,14.0,18.3,9.7
2025-12-10,23.1,15.6,18.9,7.5
2025-12-11,25.7,17.5,21.2,8.2
2025-12-12,23.8,17.6,20.6,6.2
2025-12-13,19.2,12.5,16.0,6.7
2025-12-14,16.6,10.8,13.1,5.8
2025-12-15,19.0,8.1,13.3,10.9
2025-12-16,22.0,12.2,17.1,9.8
2025-12-17,25.5,16.4,20.0,9.1
2025-12-18,23.6,14.0,18.4,9.6
2025-12-19,24.0,15.9,19.6,8.1
2025-12-20,25.8,17.6,21.2,8.2
2025-12-21,24.5,17.1,20.4,7.4
2025-12-22,22.0,14.0,17.8,8.0
2025-12-23,25.2,16.1,19.9,9.1
2025-12-24,25.1,16.1,20.4,9.0
2025-12-25,16.7,11.8,13.4,4.9
2025-12-26,12.2,8.4,10.7,3.8
2025-12-27,18.5,11.3,13.8,7.2
2025-12-28,18.9,11.5,14.9,7.4
2025-12-29,21.0,11.6,16.3,9.4
2025-12-30,22.5,13.2,17.3,9.3
2025-12-31,21.9,13.1,17.3,8.8
2026-01-01,20.4,13.2,16.4,7.2
2026-01-02,15.4,8.3,11.5,7.1
2026-01-03,15.4,4.9,9.9,10.5
2026-01-04,18.7,8.1,13.1,10.6
2026-01-05,18.7,10.6,13.4,8.1
2026-01-06,14.4,8.4,10.7,6.0
2026-01-07,15.4,6.2,10.3,9.2
2026-01-08,17.6,7.2,11.6,10.4
2026-01-09,18.3,7.2,12.3,11.1
2026-01-10,20.6,7.8,13.9,12.8
2026-01-11,20.4,10.4,14.7,10.0
2026-01-12,21.4,8.2,14.9,13.2
2026-01-13,23.3,10.8,16.5,12.5
2026-01-14,24.0,11.7,17.6,12.3
2026-01-15,24.7,11.4,18.1,13.3
2026-01-16,25.3,12.9,19.3,12.4
2026-01-17,25.8,15.4,20.5,10.4
2026-01-18,26.0,13.8,20.0,12.2
2026-01-19,25.4,14.3,19.8,11.1
2026-01-20,18.6,12.1,16.0,6.5
2026-01-21,11.4,9.1,10.0,2.3
2026-01-22,9.9,6.2,8.3,3.7
2026-01-23,11.2,6.7,8.9,4.5
2026-01-24,18.9,9.4,13.1,9.5
2026-01-25,24.2,11.6,17.1,12.6
2026-01-26,25.0,13.4,19.2,11.6
2026-01-27,24.8,13.6,19.0,11.2
2026-01-28,21.5,12.3,16.9,9.2
2026-01-29,23.5,14.1,18.4,9.4
2026-01-30,23.2,16.3,19.1,6.9
2026-01-31,18.7,12.6,15.1,6.1
2026-02-01,18.5,8.8,13.4,9.7
2026-02-02,19.9,9.1,14.0,10.8
2026-02-03,21.1,9.8,15.5,11.3
2026-02-04,22.0,14.1,17.6,7.9
2026-02-05,25.7,14.7,20.1,11.0
2026-02-06,26.9,17.7,21.9,9.2
